F2O7_S29_L004,F2R23_S11_L004,F1O10_S21_L004,F2R33_S16_L004,F1O8_S19_L004,F2O15_S33_L004,F1O9_S20_L004,F2R24_S12_L004,F1R11_S9_L004,F1O11_S22_L004,F2R26_S13_L004,F2R35_S17_L004,F2O1_S26_L004,F204_S27_L004,F1R5_S6_L004,F2O9_S30_L004,F2R22_S10_L004,F1O12_S23_L004,F2O14_S32_L004,F1R3_S4_L004,F1R9_S8_L004,F1O13_S24_L004,F1O14_S25_L004,F1R1_S3_L004,F2O12_S31_L004,F2R30_S15_L004,F2R28_S14_L004,F1O3_S18_L004,F1R7_S7_L004,F2O5_S28_L004,F1R4_S5_L004
CARD|phgb|DQ256091|98-974|ARO:3001943|CTX-M-82|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,61.0,0,0,0,91.0,0,0,0,0,58.0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0
Rif|CP000034.1|gene3741|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,5580.0,3713.0,2316.0,5795.0,4281.0,5712.0,2182.0,6021.0,5917.0,644.0,6329.0,6121.0,5624.0,4125.0,5472.0,1436.0,6000.0,5507.0,5003.0,5503.0,1313.0,4441.0,1190.0,5696.0,5252.0,5653.0,6058.0,3458.0,862.0,207.0,0
gi|223006550|emb|AM941159.1|betalactams|Class_A_betalactamases|TEM,318.0,371.0,0,301.0,110.0,208.0,0,359.0,288.0,0,215.0,384.0,216.0,0,183.0,0,334.0,0,393.0,294.0,0,0,0,298.0,152.0,166.0,0,0,54.0,0,0
Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|CTX-M-81|EU136031|1-876|876|betalactams|Class_A_betalactamases|CTX,162.0,44.0,0,634.0,0,165.0,0,0,0,0,141.0,554.0,191.0,22.0,0,0,0,0,73.0,0,0,0,0,0,173.0,542.0,134.0,0,0,0,0
Sul|sul2_17_U57647|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,674.0,539.0,668.0,1019.0,894.0,132.0,820.0,948.0,901.0,287.0,587.0,929.0,623.0,545.0,599.0,200.0,869.0,896.0,312.0,703.0,0,808.0,932.0,767.0,356.0,765.0,557.0,830.0,1285.0,51.0,1245.0
Bla|TEM-141|AY956335|39-889|861|betalactams|Class_A_betalactamases|TEM,728.0,204.0,146.0,632.0,178.0,255.0,28.0,518.0,672.0,0,452.0,869.0,507.0,0,430.0,0,557.0,88.0,381.0,642.0,0,22.0,0,722.0,350.0,358.0,219.0,0,0,0,0
Sul|sul3_5_AB281182|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,46.0,768.0,904.0,795.0,0,995.0,0,1098.0,0,0,938.0,0,0,873.0,0,587.0,895.0,537.0,863.0,212.0,790.0,831.0,1054.0,865.0,828.0,419.0,464.0,0,0,0
Rif|AP009048.1|gene3341|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,4804.0,3935.0,4871.0,5762.0,3812.0,6449.0,2543.0,6181.0,5888.0,644.0,7022.0,6337.0,6057.0,4869.0,5590.0,1050.0,6286.0,7399.0,5763.0,5907.0,985.0,5469.0,1265.0,7270.0,5867.0,5542.0,6852.0,3484.0,1190.0,512.0,94.0
Bla|TEM-150|AM183304|209-1069|861|betalactams|Class_A_betalactamases|TEM,298.0,338.0,0,0,0,248.0,0,382.0,299.0,0,197.0,382.0,0,0,176.0,0,334.0,0,465.0,0,0,12.0,0,287.0,0,177.0,0,0,0,0,0
Bla|TEM-76|AF190694|209-1069|861|betalactams|Class_A_betalactamases|TEM,518.0,177.0,88.0,464.0,122.0,194.0,0,308.0,473.0,0,278.0,649.0,360.0,0,278.0,0,353.0,67.0,338.0,444.0,0,0,10.0,472.0,194.0,227.0,128.0,0,17.0,0,0
CARD|phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD,0,0,0,0,0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,10.0,0,0,0,0,0,0
Bla|CMY-16|FM995219|3672-4817|1146|betalactams|Class_C_betalactamases|CMY,546.0,0,0,57.0,0,116.0,0,307.0,55.0,0,0,67.0,348.0,0,0,0,307.0,256.0,207.0,114.0,0,0,0,306.0,0,0,0,0,0,0,0
Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1109.0,3659.0,3687.0,2356.0,3621.0,3584.0,3703.0,2046.0,3658.0,3681.0,3615.0,2418.0,3579.0,2858.0,3334.0,3444.0,1897.0,3381.0,3550.0,3662.0,3440.0,3537.0,3688.0,3661.0,3319.0,2962.0,3588.0,3679.0,1085.0,2442.0,3223.0
gi|406507780|gb|JX310327.1|betalactams|Class_A_betalactamases|TEM,658.0,0,141.0,593.0,105.0,170.0,0,483.0,593.0,0,408.0,793.0,421.0,0,395.0,0,423.0,130.0,313.0,572.0,0,0,0,629.0,275.0,288.0,194.0,0,0,0,0
gi|442540410|gb|JX514369.1|betalactams|Class_C_betalactamases|CMY,534.0,0,0,32.0,0,137.0,0,318.0,31.0,0,38.0,71.0,386.0,0,0,0,334.0,264.0,220.0,131.0,0,0,0,365.0,0,0,0,0,0,0,0
CARD|pvgb|AF335467|36-1164|ARO:3003385|Enterobacter|Multi-drug_resistance|MDR_mutant_porin_proteins|omp36|RequiresSNPConfirmation,0,129.0,0,93.0,88.0,0,0,766.0,118.0,0,0,161.0,0,0,0,0,795.0,255.0,0,0,0,37.0,0,0,0,0,0,99.0,0,0,0
Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA,0,248.0,19.0,13.0,192.0,0,15.0,1686.0,85.0,24.0,0,40.0,0,0,0,0,1660.0,383.0,18.0,20.0,0,20.0,0,0,51.0,0,0,179.0,0,0,0
gi|6007798|gb|AF188199.1|betalactams|Class_A_betalactamases|TEM,971.0,236.0,191.0,856.0,152.0,296.0,0,710.0,877.0,0,678.0,1184.0,728.0,0,638.0,0,670.0,206.0,435.0,843.0,0,0,0,929.0,480.0,439.0,329.0,0,0,22.0,0
CARD|phgb|NC_002695|4903561-4904935|ARO:3000830|cpxA|Multi-drug_resistance|MDR_regulator|CPXA,2191.0,1152.0,1096.0,1885.0,1421.0,1581.0,772.0,2119.0,1987.0,183.0,1605.0,1930.0,2141.0,1220.0,1846.0,704.0,2087.0,1508.0,1774.0,2042.0,302.0,1132.0,416.0,1964.0,1584.0,1851.0,1577.0,1029.0,0,114.0,49.0
gi|56554762|gb|AY847143.1|betalactams|Class_A_betalactamases|CTX,429.0,83.0,0,1000.0,0,394.0,0,97.0,0,0,342.0,958.0,398.0,48.0,0,0,126.0,0,168.0,0,0,0,0,0,427.0,846.0,343.0,0,0,0,0
CARD|pvgb|NC_007622|559336-560521|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,78.0,0,112.0,0,139.0,0,0,105.0,0,0,0,0,0,0,0,72.0,82.0,0,0,98.0,184.0,0,0,0,0,118.0,0,0,376.0
Bla|SHV-1_14_HM751099|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul|sul1_8_JN581942|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,58.0,72.0,1095.0,1097.0,1092.0,219.0,1120.0,841.0,1226.0,242.0,609.0,1096.0,204.0,524.0,1053.0,84.0,731.0,1105.0,518.0,1080.0,241.0,984.0,1004.0,1134.0,891.0,1085.0,487.0,719.0,168.0,29.0,305.0
gi|166850617|gb|EU402393.1|betalactams|Class_A_betalactamases|CTX,0,0,0,33.0,0,0,0,63.0,0,0,0,63.0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|Aph3-dprime-Ia|FJ172370|38668-39483|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,961.0,393.0,1431.0,602.0,1268.0,540.0,1294.0,674.0,1134.0,192.0,506.0,723.0,790.0,1427.0,598.0,1121.0,640.0,639.0,1220.0,805.0,229.0,1517.0,1555.0,1233.0,746.0,0,350.0,1216.0,87.0,38.0,1431.0
Bla|TEM-43|U95363|1-861|861|betalactams|Class_A_betalactamases|TEM,182.0,55.0,0,144.0,0,45.0,0,111.0,173.0,0,75.0,233.0,118.0,0,76.0,0,97.0,0,96.0,169.0,0,0,0,143.0,54.0,81.0,28.0,0,0,0,0
MLS|ermX_4_NC_005206|MLS|23S_rRNA_methyltransferases|ERMX,0,0,1346.0,0,910.0,84.0,1561.0,0,1581.0,154.0,0,0,13.0,69.0,32.0,76.0,0,0,141.0,0,81.0,794.0,1132.0,1500.0,97.0,0,0,1032.0,108.0,0,281.0
Bla|CTX-M-24_8_EF374096|betalactams|Class_A_betalactamases|CTX,409.0,79.0,0,1097.0,0,358.0,0,79.0,0,0,329.0,1057.0,377.0,0,0,0,89.0,0,146.0,0,0,0,0,0,376.0,893.0,283.0,0,0,0,0
Flq|QnrB19|EU432277|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,921.0,0,1036.0,0,647.0,0,1013.0,0,0,981.0,1026.0,536.0,0,0,41.0,1025.0,0,0,0,0,0,0,0,0,593.0,828.0,0,0,64.0,0
gi|21541784|gb|AF516720.1|betalactams|Class_A_betalactamases|TEM,962.0,264.0,205.0,859.0,219.0,387.0,0,702.0,878.0,0,685.0,1145.0,739.0,37.0,605.0,0,723.0,226.0,591.0,834.0,0,0,0,878.0,444.0,418.0,321.0,40.0,0,38.0,0
1090|DQ303459.3|DQ303459|betalactams|Class_A_betalactamases|CTX,1086.0,443.0,124.0,812.0,827.0,1000.0,1185.0,1395.0,1038.0,103.0,456.0,940.0,1033.0,286.0,1069.0,33.0,1402.0,1249.0,1000.0,1076.0,0,327.0,98.0,1068.0,1039.0,1249.0,408.0,287.0,382.0,49.0,19.0
Sul|sul3_3_AY047357|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,638.0,787.0,705.0,0,827.0,611.0,911.0,0,438.0,821.0,0,0,795.0,0,0,832.0,0,795.0,152.0,699.0,607.0,878.0,651.0,766.0,383.0,298.0,0,0,0
gi|397911950|gb|JQ724542.1|betalactams|Class_A_betalactamases|CTX,408.0,81.0,0,1048.0,0,379.0,0,71.0,0,0,316.0,1001.0,394.0,32.0,0,0,72.0,0,130.0,0,0,0,0,0,371.0,878.0,333.0,0,0,0,0
Bla|PSE-4|AF313471|1422-2288|867|betalactams|Class_A_betalactamases|CARB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,0,0
Tet|tetL_8_X60828|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.0,0,0,0,0,0,0,0,0,0,0,0,707.0
Phe|AF332662.1|gene1|Phenicol|Phenicol_efflux_pumps|FLOR,1334.0,1052.0,1312.0,1499.0,1287.0,1259.0,1439.0,1320.0,1399.0,1397.0,1332.0,1480.0,1346.0,1464.0,1242.0,1056.0,1346.0,1462.0,1430.0,1380.0,61.0,1295.0,1368.0,1561.0,911.0,1341.0,1253.0,1243.0,1747.0,0,1764.0
AGly|AadB|JQ690540|4275-4808|534|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,142.0,49.0,201.0,4.0,11.0,0,0,75.0,0,82.0,0,563.0,0,368.0,0,0,5.0,0,58.0,19.0,32.0,0,0,0,0,164.0,0,0,156.0
MLS|MsrD|AF274302|2462-3925|1464|MLS|Macrolide_resistance_efflux_pumps|MSRD,1077.0,0,1112.0,0,0,0,0,0,0,733.0,0,0,899.0,1552.0,0,0,0,0,167.0,222.0,0,0,57.0,0,0,0,0,847.0,110.0,0,0
gi|160858185|emb|AJ866284.2|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tet|tet31_1_GQ283908|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET31,501.0,0,301.0,0,0,0,0,0,0,0,0,0,344.0,0,0,0,0,0,0,0,0,0,81.0,0,24.0,0,0,0,2317.0,0,2281.0
Bla|MECA|AB221124|91-2097|2007|betalactams|Penicillin_binding_protein|MECA,0,0,43.0,0,55.0,0,85.0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,0,37.0,87.0,0,0,0,0,52.0,0,0,0
Rif|Arr3|JF806499|1353-1805|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892|AJ746361.2|AJ746361|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,86.0,65.0,819.0,1073.0,933.0,222.0,1083.0,748.0,1223.0,193.0,589.0,1102.0,157.0,525.0,1061.0,62.0,717.0,1114.0,472.0,1103.0,222.0,950.0,831.0,1152.0,892.0,1063.0,452.0,439.0,158.0,11.0,304.0
Bla|cfxA3_1_AF472622|betalactams|Class_A_betalactamases|CFX,0,160.0,92.0,0,0,96.0,10.0,0,0,96.0,119.0,0,0,141.0,0,0,0,0,356.0,0,0,0,201.0,0,0,0,99.0,74.0,0,0,0
Bla|SHV-38|GQ407124|1-861|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLS|ermF_3_M17808|MLS|23S_rRNA_methyltransferases|ERMF,0,0,1444.0,0,924.0,495.0,1299.0,0,20.0,1276.0,0,0,0,1222.0,1128.0,35.0,0,273.0,1112.0,74.0,132.0,559.0,1387.0,0,0,0,0,1413.0,421.0,0,81.0
Bla|blaZ_40_DQ269019|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,0,0,0
gi|78057321|gb|DQ223685.1|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tet|tetM_7_FN433596|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,616.0,288.0,344.0,0,742.0,191.0,173.0,0,3590.0,233.0,0,0,358.0,1299.0,0,339.0,0,88.0,676.0,269.0,0,211.0,751.0,1738.0,162.0,285.0,0,334.0,452.0,0,1052.0
Elf|NC_011595.7072242|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,0,0,0,0,0,0,23.0,0,0,22.0,14.0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,0,0,0,0
AGly|str_2_FN435330|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0
CARD|pvgb|NC_002516|4767810-4769004|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,124.0,0,276.0,0,232.0,196.0,0,0,0,249.0,0,0,0,0,0,0,0,0,204.0,0,0,0,343.0,0,0,0,0,363.0,0,0,0
MLS|L22689.1|gene1|MLS|23S_rRNA_methyltransferases|ERMQ,0,0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|TEM-155|DQ679961|115-975|861|betalactams|Class_A_betalactamases|TEM,38.0,0,0,0,0,0,0,40.0,0,0,0,47.0,0,0,0,0,0,0,104.0,0,0,0,0,45.0,0,0,0,0,0,0,0
Bla|TEM-166|FJ197316|1-861|861|betalactams|Class_A_betalactamases|TEM,551.0,160.0,61.0,473.0,126.0,164.0,0,362.0,503.0,0,328.0,664.0,347.0,0,244.0,0,377.0,80.0,296.0,451.0,0,0,0,482.0,221.0,211.0,137.0,0,0,12.0,0
Flq|M58408|gene|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,3600.0,2978.0,3415.0,3838.0,3244.0,3863.0,2650.0,4092.0,4047.0,572.0,3992.0,3883.0,3850.0,3234.0,4014.0,1054.0,4109.0,4019.0,3946.0,4139.0,833.0,3534.0,1219.0,4158.0,3450.0,4013.0,3970.0,2737.0,810.0,431.0,111.0
Tmt|DfrA12|Z21672|310-807|498|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,147.0,188.0,936.0,854.0,931.0,301.0,855.0,940.0,944.0,115.0,736.0,934.0,341.0,934.0,939.0,84.0,939.0,933.0,531.0,933.0,776.0,939.0,266.0,938.0,936.0,946.0,612.0,462.0,520.0,0,98.0
CARD|pvgb|AP009048|1191352-1192024|ARO:3003585|Klebsiella|Cationic_antimicrobial_peptides|Polymyxin-resistant_phoP|phoP|RequiresSNPConfirmation,1069.0,773.0,531.0,1112.0,571.0,1048.0,276.0,1110.0,1121.0,37.0,1164.0,1118.0,1076.0,821.0,1053.0,223.0,1115.0,1143.0,998.0,1104.0,154.0,700.0,140.0,1144.0,1010.0,1080.0,1151.0,540.0,135.0,55.0,21.0
Tet|tetB_3_AP000342|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,1827.0,314.0,1082.0,1429.0,778.0,607.0,208.0,1534.0,1817.0,1325.0,1118.0,1455.0,1731.0,1861.0,1792.0,906.0,1573.0,1843.0,1383.0,1876.0,0,995.0,262.0,1836.0,329.0,222.0,845.0,242.0,168.0,0,0
gi|344179206|gb|JF460795.1|betalactams|Class_C_betalactamases|CMY,1114.0,0,0,105.0,0,277.0,0,666.0,120.0,0,114.0,227.0,814.0,0,0,0,648.0,581.0,537.0,319.0,0,0,0,777.0,0,26.0,61.0,0,0,0,0
gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,117.0,0,0,0,37.0,0,0,0,0,95.0,0,0,0,0,0,0,0,0,28.0,0,0,0,0,0
MLS|ermC_13_M13761|MLS|23S_rRNA_methyltransferases|ERMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0
Tet|NC_010558.1.6276025|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETD,498.0,74.0,261.0,306.0,167.0,176.0,82.0,381.0,452.0,271.0,243.0,382.0,462.0,487.0,444.0,253.0,379.0,530.0,366.0,483.0,0,338.0,58.0,543.0,82.0,64.0,191.0,69.0,41.0,0,0
Sul|sul1_14_AJ517791|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,509.0,641.0,545.0,0,660.0,468.0,775.0,0,334.0,679.0,0,291.0,620.0,0,403.0,674.0,276.0,640.0,0,530.0,488.0,707.0,476.0,685.0,0,195.0,0,0,191.0
CARD|phgb|AP009048|4304505-4306557|ARO:3003549|mdtO|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTO,293.0,0,0,331.0,0,0,0,296.0,290.0,0,527.0,492.0,0,145.0,1003.0,0,309.0,293.0,0,400.0,49.0,0,0,484.0,219.0,0,336.0,145.0,0,0,0
1577|EU850412.1|EU850412|betalactams|Class_A_betalactamases|CARB,32.0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,10.0,0,0,0,20.0,0,0,0,0,0,1474.0,18.0,1606.0
Bla|AmpC1_Ecoli|FN649414|2765051-2766355|1302|betalactams|Penicillin_binding_protein|PBP4B,2383.0,2136.0,1998.0,2439.0,2123.0,2435.0,1527.0,2480.0,2451.0,400.0,2494.0,2473.0,2446.0,2186.0,2402.0,803.0,2481.0,2480.0,2348.0,2435.0,788.0,2292.0,813.0,2477.0,2421.0,2412.0,2471.0,1984.0,650.0,288.0,76.0
CARD|phgb|AM183304|208-1069|ARO:3001017|TEM-150|betalactams|Class_A_betalactamases|TEM,323.0,358.0,0,287.0,105.0,233.0,0,368.0,0,0,0,402.0,0,0,181.0,0,294.0,0,462.0,303.0,0,16.0,0,316.0,0,153.0,0,0,42.0,0,0
Flq|CP000034.1|gene3218|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,3498.0,1799.0,642.0,3539.0,2686.0,3103.0,991.0,3497.0,3414.0,361.0,3584.0,3516.0,3549.0,1972.0,3189.0,737.0,3380.0,2212.0,2298.0,2875.0,557.0,1733.0,532.0,2552.0,3242.0,3377.0,3502.0,1960.0,292.0,60.0,89.0
MLS|ErmT|M64090|168-902|735|MLS|23S_rRNA_methyltransferases|ERMR,0,0,63.0,0,156.0,0,0,0,13.0,97.0,44.0,0,15.0,0,0,0,0,0,0,0,14.0,45.0,101.0,169.0,0,0,18.0,139.0,0,0,23.0
Sul|AY758206.1|gene7|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,419.0,436.0,1510.0,1669.0,1538.0,780.0,1682.0,1387.0,1749.0,622.0,1209.0,1681.0,665.0,1112.0,1648.0,343.0,1358.0,1709.0,1112.0,1688.0,820.0,1600.0,1454.0,1706.0,1496.0,1601.0,1143.0,997.0,651.0,60.0,886.0
MLS|CfrA|AM408573|10028-11077|1050|Phenicol|Florfenicol_methyltransferases|CFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,0,181.0
MLS|ermB_6_AF242872|MLS|23S_rRNA_methyltransferases|ERMB,0,0,641.0,9.0,118.0,39.0,669.0,0,472.0,266.0,16.0,22.0,15.0,396.0,62.0,159.0,8.0,227.0,73.0,438.0,484.0,0,782.0,296.0,0,0,0,392.0,0,0,408.0
CARD|phgb|U00096|2484373-2487967|ARO:3000833|evgS|Multi-drug_resistance|MDR_regulator|EVGS,5616.0,4407.0,4295.0,6583.0,2786.0,6581.0,984.0,6651.0,6608.0,277.0,7071.0,6800.0,6030.0,5367.0,6167.0,1177.0,6795.0,6960.0,5538.0,6143.0,1129.0,3080.0,1238.0,6925.0,6161.0,6117.0,6976.0,3939.0,1212.0,251.0,148.0
CARD|pvgb|NC_007779|986315-987404|ARO:3003390|Escherichia|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,1986.0,1708.0,1555.0,2035.0,1574.0,2035.0,822.0,2030.0,2055.0,230.0,2081.0,2058.0,2014.0,1859.0,2012.0,422.0,2025.0,2024.0,1989.0,2036.0,659.0,1629.0,597.0,2049.0,1987.0,1990.0,2060.0,1628.0,645.0,109.0,77.0
569|DQ018711.1|DQ018711|Glycopeptides|VanA-type_accessory_protein|VANWA,0,0,37.0,0,32.0,0,79.0,0,0,58.0,0,0,0,0,0,0,0,39.0,0,0,0,47.0,87.0,0,0,0,0,45.0,0,0,0
gi|56554770|gb|AY847147.1|betalactams|Class_A_betalactamases|CTX,410.0,95.0,0,943.0,0,426.0,0,98.0,0,0,325.0,927.0,400.0,0,0,0,87.0,0,185.0,0,0,0,0,0,351.0,824.0,367.0,0,0,0,0
CARD|phgb|AF516720|214-1075|ARO:3000968|TEM-105|betalactams|Class_A_betalactamases|TEM,503.0,165.0,83.0,410.0,85.0,185.0,0,356.0,470.0,0,287.0,617.0,345.0,12.0,262.0,0,318.0,63.0,338.0,425.0,0,14.0,0,455.0,183.0,244.0,110.0,0,0,0,0
858|L06156.1|PROAAC2IA|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|110630022|gb|DQ810789.1|betalactams|Class_A_betalactamases|CTX,0,0,0,249.0,0,0,0,279.0,0,0,0,409.0,0,0,0,0,317.0,0,0,0,0,0,0,0,0,219.0,0,0,0,0,0
Bla|CMY-7|AJ011291|1-1146|1146|betalactams|Class_C_betalactamases|CMY,843.0,0,0,78.0,0,180.0,0,496.0,87.0,0,89.0,173.0,591.0,0,0,0,452.0,438.0,362.0,256.0,0,0,0,537.0,0,0,48.0,0,0,0,0
Tet|tetW_1_DQ060146|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,828.0,3622.0,3678.0,3001.0,3575.0,3522.0,3703.0,2705.0,3622.0,3667.0,3612.0,2922.0,3556.0,3175.0,3152.0,3355.0,2554.0,3436.0,3530.0,3603.0,2285.0,3405.0,3694.0,3461.0,3273.0,2562.0,3612.0,3680.0,888.0,1976.0,2684.0
Mdr|NC_002745.1123448|Methicillin|Multi-drug_resistance|MDR_regulator|MGRA,0,0,17.0,0,19.0,0,38.0,0,0,20.0,0,0,0,0,0,0,0,14.0,0,0,0,18.0,33.0,0,0,0,0,22.0,0,0,0
Bla|CTX-M-101|HQ398214|250-1125|876|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,48.0,0,0,0,59.0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|Aph2-Ib|AF207840|272-1171|900|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,968.0,927.0,0,110.0,1694.0,1600.0,0,1528.0,925.0,217.0,0,926.0,1218.0,83.0,577.0,0,0,1702.0,533.0,36.0,0,1392.0,561.0,1639.0,26.0,77.0,1590.0,0,392.0,25.0
Sul|sul1_24_EU117158|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,39.0,0,669.0,887.0,750.0,0,856.0,585.0,1074.0,129.0,410.0,926.0,119.0,407.0,861.0,52.0,557.0,940.0,361.0,910.0,169.0,741.0,636.0,987.0,713.0,878.0,326.0,313.0,123.0,0,234.0
gi|13562034|gb|AF351241.1|betalactams|Class_A_betalactamases|TEM,0,343.0,0,279.0,98.0,275.0,0,364.0,0,0,222.0,389.0,0,0,192.0,0,321.0,0,483.0,310.0,0,17.0,0,0,0,159.0,85.0,0,59.0,0,0
CARD|phgb|KC292503|4334-5195|ARO:3000904|TEM-34|betalactams|Class_A_betalactamases|TEM,636.0,208.0,124.0,561.0,115.0,217.0,0,457.0,588.0,0,366.0,749.0,448.0,0,363.0,0,455.0,123.0,352.0,559.0,0,0,0,581.0,271.0,321.0,206.0,0,0,0,0
1742|AF313471.1|AF313471|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,71.0,327.0,1166.0,373.0,130.0,1190.0,309.0,93.0,56.0,702.0,1182.0,315.0,80.0,123.0,0,309.0,885.0,285.0,0,0,35.0,937.0,608.0,292.0,56.0,584.0,342.0,1234.0,57.0,1238.0
MLS|ErmX|M36726|296-1150|855|MLS|23S_rRNA_methyltransferases|ERMX,0,0,505.0,0,158.0,0,243.0,0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0,0,0,0,354.0,0,0,43.0
Phe|U75299|gene|Phenicol|Chloramphenicol_acetyltransferases|CAT,0,0,9.0,0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0,0
